Date,longitude,latitude,Integrated_FRP,Max_FRP,state,Precipitation,Air_Temperature_Max,Air_Temperature_Mean,Wind_Speed,Wind_Direction,Biomass,Solar_Radiance,Soil_Moisture,LST_Day_Max,LST_Day_Mean,LST_Night_Max,LST_Night_Mean,Relative_Humidity,Recent_Humidity,MODIS_Burn_Area,Elevation,Slope,Aspect,LAI,NDVI,EVI,SPEI,FMC_mean,FMC_max,FMC_min,Flam_max,Flam_mean,Flam_min,Daily_KBDI,Month_KBDI,Year_KBDI,LULC_Cat,Forest_Type_Cat,Prev_Freq,Prev_mir,Prev_tir,Prev_alb,Month,Forest_Type_Num,LULC_Num
31/10/2019,147.05957,-42.162109,1766.995,169.23, TAS,837.8239746,8.029995139,6.726055064,3.8413799,254.723999,13.4878998,2996.060059,0.300667,17.6942997,13.1873999,6.6101899,4.2696099,72.78287213,90.85091119,176.8066938,850.2080078,1.62922,173.7519989,1.201228168,0.363323,0.272037546,-1.0253509,121.4184952,125.8659058,114.290184,0.4730662,0.2442531,0.0168824,450.942951,462.2820121,193.8275854,Production native forests,Eucalypt Tall Woodland,6.5,311.3125,288.25,0.125,10,13,14
31/10/2019,147.084961,-42.162109,99.22,28.915, TAS,837.8239746,8.105661011,6.815829468,3.8438201,314.802002,13.4779997,2998.929932,0.299042,17.9484005,13.4796,6.4441099,3.72662,72.64514792,90.458343,176.8066938,819.5349731,1,141.3630066,1.177091601,0.364095,0.274054857,-1.0253509,113.7655029,125.6661224,98.0208893,0.4285885,0.2487551,0.1398333,454.731465,465.5377412,196.3147474,Urban intensive uses,Hardwood plantation,6.5,311.3125,288.25,0.125,10,14,16
29/10/2019,147.033203,-42.161133,334.255,82.1, TAS,837.8239746,7.730661011,6.370907593,3.8317599,17.0580997,13.1436005,2984.709961,0.302424,17.0044003,12.1449003,6.5935302,4.2396898,73.32770901,92.40391064,176.8066938,886.4299927,1.56884,167.845993,1.137139751,0.360975,0.262679756,-1.0253509,110.499939,118.9097366,105.2752838,0.1988566,0.1403408,0.0740833,447.0148842,458.9268491,191.2063059,Production native forests,Eucalypt Medium Woodland,6.5,311.3125,288.25,0.125,10,10,14
31/10/2019,147.033203,-42.161133,1341.305,193.725, TAS,837.8239746,7.730661011,6.370907593,3.8317599,17.0580997,13.1436005,2984.709961,0.302424,17.0044003,12.1449003,6.5935302,4.2396898,73.32770901,92.40391064,176.8066938,886.4299927,1.56884,167.845993,1.137139751,0.360975,0.262679756,-1.0253509,110.499939,118.9097366,105.2752838,0.1988566,0.1403408,0.0740833,447.0148842,458.9268491,191.2063059,Production native forests,Eucalypt Medium Woodland,9,319.0625,284.625,0.148438,10,10,14
4/03/2020,146.21582,-42.149414,51.75,51.75, TAS,1404.609985,6.565675353,5.021732611,3.64925,304.4530029,13.9535999,2430.850098,0.384891,15.8720999,13.4860001,9.1782198,2.1721301,84.53034666,95.51524053,176.8066938,768.8839722,1,154.5769958,3.20733493,0.425969,0.286566528,-0.8069836,104.2949982,113.9500046,94.8162003,0.1896086,0.1547572,0.1320918,285.8886903,321.1362858,113.6462662,Other minimal use,Eucalypt Tall Open,7,311.3125,288.25,0.125,3,12,12
5/12/2019,148.003906,-42.149414,955.56,100.32, TAS,599.1610107,12.47608624,11.91582721,5.05832,156.6950073,12.9582996,3119.399902,0.258841462,25.6632996,18.9867001,13.1206999,9.1628704,63.21791195,79.55310215,176.8066938,162.052002,2.13308,149.2489929,0.964995859,0.335551,0.229970068,-1.0717067,64.7448425,72.7752686,51.2041626,0.4350064,0.3142871,0.1934883,374.161616,381.9601432,163.4773448,Other minimal use,Eucalypt Medium Woodland,21,311.3125,288.25,0.125,12,10,12
6/12/2019,148.003906,-42.149414,278.425,35.49, TAS,599.1610107,12.47608624,11.91582721,5.05832,156.6950073,12.9582996,3119.399902,0.258841462,25.6632996,18.9867001,13.1206999,9.1628704,63.21791195,79.55310215,176.8066938,162.052002,2.13308,149.2489929,0.964995859,0.335551,0.229970068,-1.0717067,64.7448425,72.7752686,51.2041626,0.4350064,0.3142871,0.1934883,374.161616,381.9601432,163.4773448,Other minimal use,Eucalypt Medium Woodland,27,317.4375,287.25,0.109375,12,10,12
4/12/2019,147.952148,-42.148438,193.915,64.715, TAS,596.4699707,11.59903188,10.99264517,4.6372299,244.1970062,13.8886995,3105.01001,0.21793,23.1555996,16.6625004,13.2327995,8.9240503,63.10345985,80.8342108,176.8066938,343.1470032,3.2257099,92.4908981,2.226970486,0.406285,0.255238151,-1.0717067,101.2052002,109.2703934,95.870285,0.3528496,0.2169553,0.0645139,388.7063879,396.0220859,170.9573148,Nature conservation,Eucalypt Medium Woodland,21,311.3125,288.25,0.125,12,10,10
5/12/2019,147.952148,-42.148438,256.55,18.405, TAS,596.4699707,11.59903188,10.99264517,4.6372299,244.1970062,13.8886995,3105.01001,0.21793,23.1555996,16.6625004,13.2327995,8.9240503,63.10345985,80.8342108,176.8066938,343.1470032,3.2257099,92.4908981,2.226970486,0.406285,0.255238151,-1.0717067,101.2052002,109.2703934,95.870285,0.3528496,0.2169553,0.0645139,388.7063879,396.0220859,170.9573148,Nature conservation,Eucalypt Medium Woodland,7,314.875,289.625,0.09375,12,10,10
6/12/2019,147.952148,-42.148438,1827.005,53.26, TAS,596.4699707,11.59903188,10.99264517,4.6372299,244.1970062,13.8886995,3105.01001,0.21793,23.1555996,16.6625004,13.2327995,8.9240503,63.10345985,80.8342108,176.8066938,343.1470032,3.2257099,92.4908981,2.226970486,0.406285,0.255238151,-1.0717067,101.2052002,109.2703934,95.870285,0.3528496,0.2169553,0.0645139,388.7063879,396.0220859,170.9573148,Nature conservation,Eucalypt Medium Woodland,19,296.9375,285.375,0.101562,12,10,10
